x,y
0,0
0.04040404,0.39997983
0.08080808,0.5627629
0.121212125,0.6856794
0.16161616,0.7876199
0.2020202,0.8759386
0.24242425,0.9544252
0.28282827,1.0253397
0.32323232,1.0901606
0.36363637,1.1499192
0.4040404,1.2053683
0.44444445,1.2570788
0.4848485,1.3054945
0.5252525,1.35097
0.56565654,1.393793
0.6060606,1.4342011
0.64646465,1.4723933
0.68686867,1.5085378
0.72727275,1.5427785
0.7676768,1.5752395
0.8080808,1.6060288
0.8484849,1.6352409
0.8888889,1.6629587
0.9292929,1.6892561
0.969697,1.7141982
1.010101,1.7378435
1.050505,1.7602441
1.0909091,1.781447
1.1313131,1.8014947
1.1717172,1.8204252
1.2121212,1.8382729
1.2525252,1.855069
1.2929293,1.8708423
1.3333334,1.8856181
1.3737373,1.8994197
1.4141414,1.9122683
1.4545455,1.9241828
1.4949495,1.9351807
1.5353535,1.9452772
1.5757576,1.9544867
1.6161616,1.9628215
1.6565657,1.9702926
1.6969697,1.9769099
1.7373737,1.9826819
1.7777778,1.987616
1.8181819,1.9917184
1.8585858,1.9949942
1.8989899,1.9974476
1.939394,1.9990815
1.979798,1.999898
2.020202,1.999898
2.060606,1.9990815
2.10101,1.9974476
2.1414142,1.9949942
2.1818182,1.9917184
2.2222223,1.987616
2.2626262,1.9826819
2.3030303,1.9769099
2.3434343,1.9702926
2.3838384,1.9628215
2.4242425,1.9544867
2.4646466,1.9452772
2.5050504,1.9351807
2.5454545,1.9241828
2.5858586,1.9122683
2.6262627,1.8994197
2.6666667,1.885618
2.7070706,1.8708423
2.7474747,1.8550692
2.7878788,1.8382729
2.8282828,1.8204252
2.868687,1.8014947
2.909091,1.781447
2.9494948,1.7602441
2.989899,1.7378435
3.030303,1.7141982
3.070707,1.6892561
3.1111112,1.6629587
3.1515152,1.6352409
3.191919,1.6060289
3.2323232,1.5752395
3.2727273,1.5427785
3.3131313,1.5085378
3.3535354,1.4723933
3.3939395,1.4342011
3.4343433,1.3937931
3.4747474,1.35097
3.5151515,1.3054945
3.5555556,1.2570788
3.5959597,1.2053683
3.6363637,1.149919
3.6767676,1.0901608
3.7171717,1.0253397
3.7575758,0.9544252
3.7979798,0.8759386
3.838384,0.7876196
3.878788,0.685679
3.9191918,0.5627634
3.959596,0.39997983
4,0
